Dataset                                                              | Brainome Modelsize             | Compile Time                           | Accuracy                     | State of the Art                  
AP-Endometrium-Breast                                                | # Parameters: 102              | Build time: 33.67 seconds              | Our model: 100.00%           | State of the Art: 98.77%          
AP-Endometrium-Kidney                                                | # Parameters: 85               | Build time: 29.38 seconds              | Our model: 100.00%           | State of the Art: 99.07%          
AP-Endometrium-Uterus                                                | # Parameters: 71               | Build time: 21.64 seconds              | Our model: 100.00%           | State of the Art: 75.68%          
AP-Omentum-Prostate                                                  | # Parameters: 81               | Build time: 19.41 seconds              | Our model: 100.00%           | State of the Art: 99.32%          
BNG-SPECTF                                                           | # Parameters: 230962           | Build time: 21580.48 seconds           | Our model: 84.65%            | State of the Art: 74.68%          
BNG-anneal-5000-10                                                   | # Parameters: 215188           | Build time: 20187.32 seconds           | Our model: 86.18%            | State of the Art: 95.62%          
BNG-anneal-ORIG-1000-5                                               | # Parameters: 320518           | Build time: 18410.61 seconds           | Our model: 99.99%            | State of the Art: 87.65%          
BNG-anneal-ORIG-5000-1                                               | # Parameters: 112278           | Build time: 19948.39 seconds           | Our model: 92.79%            | State of the Art: 93%             
BNG-anneal-ORIG-nominal-1000000                                      | # Parameters: 30222            | Build time: 17110.14 seconds           | Our model: 86.82%            | State of the Art: 88.55%          
BNG-cmc                                                              | # Parameters: 34688            | Build time: 485.01 seconds             | Our model: 99.95%            | State of the Art: 57.26%          
BNG-cmc-nominal-55296                                                | # Parameters: 55               | Build time: 1773.48 seconds            | Our model: 49.58%            | State of the Art: 51.4%           
BNG-kr-vs-kp                                                         | # Parameters: 351              | Build time: 10666.66 seconds           | Our model: 94.96%            | State of the Art: 95.9%           
BNG-letter-10000-5                                                   | # Parameters: 475823           | Build time: 13782.93 seconds           | Our model: 51.99%            | State of the Art: 0%              
BNG-letter-nominal-1000000                                           | # Parameters: 680              | Build time: 23854.07 seconds           | Our model: 51.77%            | State of the Art: 59.79%          
BNG-lymph-1000-1                                                     | # Parameters: 141225           | Build time: 11835.0 seconds            | Our model: 72.07%            | State of the Art: 70.19%          
BNG-lymph-1000-10                                                    | # Parameters: 152346           | Build time: 12083.92 seconds           | Our model: 65.36%            | State of the Art: 88.84%          
BNG-primary-tumor                                                    | # Parameters: 522              | Build time: 9921.48 seconds            | Our model: 36.19%            | State of the Art: 0%              
BNG-segment                                                          | # Parameters: 439              | Build time: 14083.5 seconds            | Our model: 86.58%            | State of the Art: 87.78%          
BNG-waveform-5000-nominal-1000000                                    | # Parameters: 134              | Build time: 17187.58 seconds           | Our model: 36.36%            | State of the Art: 0%              
BNG-zoo-nominal-1000000                                              | # Parameters: 332              | Build time: 12171.83 seconds           | Our model: 94.78%            | State of the Art: 93.86%          
Bioresponse                                                          | # Parameters: 3557             | Build time: 3841.56 seconds            | Our model: 85.60%            | State of the Art: 81.6%           
CIFAR-10-small                                                       | # Parameters: 17150            | Build time: 14632.91 seconds           | Our model: 97.26%            | State of the Art: 98%             
COMET-MC-SAMPLE                                                      | # Parameters: 15778            | Build time: 9445.98 seconds            | Our model: 98.43%            | State of the Art: 0%              
Census-Income                                                        | # Parameters: 14760            | Build time: 5548.78 seconds            | Our model: 95.37%            | State of the Art: 0%              
Diabetes130US                                                        | # Parameters: 29162            | Build time: 2058.14 seconds            | Our model: 71.47%            | State of the Art: 0%              
Fashion-MNIST                                                        | # Parameters: 415              | Build time: 16628.44 seconds           | Our model: 84.01%            | State of the Art: 94%             
GAMETES-Epistasis-2-Way-20atts-0.4H-EDM-1-1                          | # Parameters: 153              | Build time: 1856.27 seconds            | Our model: 80.62%            | State of the Art: 80.56%          
GAMETES-Epistasis-3-Way-20atts-0.2H-EDM-1-1                          | # Parameters: 115              | Build time: 1133.82 seconds            | Our model: 63.75%            | State of the Art: 62.82%          
GAMETES-Heterogeneity-20atts-1600-Het-0.4-0.2-50-EDM-2-001           | # Parameters: 9                | Build time: 31.77 seconds              | Our model: 54.31%            | State of the Art: 0%              
Internet-Advertisements                                              | # Parameters: 4681             | Build time: 3316.49 seconds            | Our model: 98.84%            | State of the Art: 98.05%          
JapaneseVowels                                                       | # Parameters: 9737             | Build time: 143.67 seconds             | Our model: 99.98%            | State of the Art: 99.55%          
KDDCup09-appetency                                                   | # Parameters: 1014             | Build time: 4866.83 seconds            | Our model: 98.64%            | State of the Art: 98.22%          
KDDCup09-churn                                                       | # Parameters: 4050             | Build time: 4923.48 seconds            | Our model: 94.73%            | State of the Art: 92.77%          
KDDCup09-upselling                                                   | # Parameters: 4054             | Build time: 3380.69 seconds            | Our model: 94.72%            | State of the Art: 95.17%          
KDDCup99                                                             | # Parameters: 2062             | Build time: 6862.76 seconds            | Our model: 99.97%            | State of the Art: 99.93%          
KnuggetChase3                                                        | # Parameters: 61               | Build time: 11.18 seconds              | Our model: 100.00%           | State of the Art: 0%              
MegaWatt1                                                            | # Parameters: 46               | Build time: 11.31 seconds              | Our model: 100.00%           | State of the Art: 90.51%          
MiceProtein                                                          | # Parameters: 296              | Build time: 1432.31 seconds            | Our model: 66.11%            | State of the Art: 99.81%          
MiniBooNE                                                            | # Parameters: 38488            | Build time: 3849.91 seconds            | Our model: 99.99%            | State of the Art: 98.67%          
MyIris                                                               | # Parameters: 27               | Build time: 1376.41 seconds            | Our model: 99.33%            | State of the Art: 96.68%          
OVA-Endometrium                                                      | # Parameters: 116              | Build time: 115.16 seconds             | Our model: 100.00%           | State of the Art: 96.83%          
OVA-Lung                                                             | # Parameters: 168              | Build time: 3624.69 seconds            | Our model: 96.63%            | State of the Art: 98.77%          
RandomRBF-10-1E-3                                                    | # Parameters: 397451           | Build time: 12338.36 seconds           | Our model: 69.45%            | State of the Art: 85.51%          
SEA-50000                                                            | # Parameters: 82361            | Build time: 8643.92 seconds            | Our model: 91.79%            | State of the Art: 88.53%          
Speech                                                               | # Parameters: 118              | Build time: 21.92 seconds              | Our model: 100.00%           | State of the Art: 95.99%          
SpeedDating                                                          | # Parameters: 2295             | Build time: 21.33 seconds              | Our model: 100.00%           | State of the Art: 87.1%           
USPS                                                                 | # Parameters: 3214             | Build time: 2654.35 seconds            | Our model: 97.54%            | State of the Art: 92.17%          
abalone                                                              | # Parameters: 3259             | Build time: 50.07 seconds              | Our model: 92.88%            | State of the Art: 26.19%          
ada                                                                  | # Parameters: 199              | Build time: 70.73 seconds              | Our model: 81.57%            | State of the Art: 0%              
adult                                                                | # Parameters: 7329             | Build time: 907.86 seconds             | Our model: 90.45%            | State of the Art: 87.53%          
ailerons                                                             | # Parameters: 169              | Build time: 2000.41 seconds            | Our model: 87.62%            | State of the Art: 89.03%          
allrep                                                               | # Parameters: 106              | Build time: 1817.76 seconds            | Our model: 97.85%            | State of the Art: 98.74%          
analcatdata-bondrate                                                 | # Parameters: 34               | Build time: 14.27 seconds              | Our model: 100.00%           | State of the Art: 59.65%          
analcatdata-broadway                                                 | # Parameters: 37               | Build time: 12.09 seconds              | Our model: 100.00%           | State of the Art: 100%            
analcatdata-chlamydia                                                | # Parameters: 24               | Build time: 11.08 seconds              | Our model: 100.00%           | State of the Art: 97%             
analcatdata-creditscore                                              | # Parameters: 8                | Build time: 11.01 seconds              | Our model: 100.00%           | State of the Art: 99%             
analcatdata-lawsuit                                                  | # Parameters: 11               | Build time: 11.2 seconds               | Our model: 100.00%           | State of the Art: 99.24%          
analcatdata-vineyard                                                 | # Parameters: 18               | Build time: 23.12 seconds              | Our model: 65.59%            | State of the Art: 87.61%          
anneal                                                               | # Parameters: 95               | Build time: 14.67 seconds              | Our model: 100.00%           | State of the Art: 100%            
ar1                                                                  | # Parameters: 12               | Build time: 11.15 seconds              | Our model: 99.17%            | State of the Art: 93.39%          
arrhythmia                                                           | # Parameters: 284              | Build time: 45.13 seconds              | Our model: 99.77%            | State of the Art: 76.51%          
arsenic-female-lung                                                  | # Parameters: 11               | Build time: 11.12 seconds              | Our model: 99.64%            | State of the Art: 99.11%          
arsenic-male-lung                                                    | # Parameters: 1                | Build time: 11.2 seconds               | Our model: 100.00%           | State of the Art: 100%            
audiology                                                            | # Parameters: 129              | Build time: 16.13 seconds              | Our model: 92.47%            | State of the Art: 81.24%          
autoUniv-au4-2500                                                    | # Parameters: 881              | Build time: 83.42 seconds              | Our model: 78.32%            | State of the Art: 73%             
autoUniv-au7-500                                                     | # Parameters: 330              | Build time: 11.03 seconds              | Our model: 100.00%           | State of the Art: 53.2%           
balance-scale                                                        | # Parameters: 27               | Build time: 821.47 seconds             | Our model: 91.68%            | State of the Art: 100%            
banknote-authentication                                              | # Parameters: 43               | Build time: 16.35 seconds              | Our model: 100.00%           | State of the Art: 100%            
biomed                                                               | # Parameters: 47               | Build time: 11.02 seconds              | Our model: 100.00%           | State of the Art: 94.74%          
braziltourism                                                        | # Parameters: 138              | Build time: 11.04 seconds              | Our model: 99.02%            | State of the Art: 79.26%          
breast-cancer-dropped-missing-attributes-values                      | # Parameters: 103              | Build time: 11.11 seconds              | Our model: 97.83%            | State of the Art: 76.53%          
bridges1                                                             | # Parameters: 77               | Build time: 10.93 seconds              | Our model: 100.00%           | State of the Art: 69.52%          
bridges2                                                             | # Parameters: 72               | Build time: 10.95 seconds              | Our model: 100.00%           | State of the Art: 67.62%          
cars                                                                 | # Parameters: 164              | Build time: 11.01 seconds              | Our model: 100.00%           | State of the Art: 92.88%          
christine                                                            | # Parameters: 2411             | Build time: 3012.68 seconds            | Our model: 97.96%            | State of the Art: 64.44%          
chscase-adopt                                                        | # Parameters: 19               | Build time: 11.02 seconds              | Our model: 100.00%           | State of the Art: 87.18%          
climate-model-simulation-crashes                                     | # Parameters: 84               | Build time: 11.32 seconds              | Our model: 100.00%           | State of the Art: 96.67%          
cmc                                                                  | # Parameters: 23               | Build time: 2438.57 seconds            | Our model: 70.19%            | State of the Art: 72.57%          
cpu                                                                  | # Parameters: 29               | Build time: 19.77 seconds              | Our model: 100.00%           | State of the Art: 100%            
dbworld-subjects-stemmed                                             | # Parameters: 39               | Build time: 1270.94 seconds            | Our model: 98.43%            | State of the Art: 93.75%          
delta-ailerons                                                       | # Parameters: 78               | Build time: 1767.41 seconds            | Our model: 94.09%            | State of the Art: 94.54%          
dermatology                                                          | # Parameters: 73               | Build time: 79.3 seconds               | Our model: 100.00%           | State of the Art: 100%            
desharnais                                                           | # Parameters: 41               | Build time: 10.91 seconds              | Our model: 100.00%           | State of the Art: 71.11%          
diabetes                                                             | # Parameters: 323              | Build time: 13.0 seconds               | Our model: 100.00%           | State of the Art: 78.78%          
dilbert                                                              | # Parameters: 3743             | Build time: 4378.28 seconds            | Our model: 63.13%            | State of the Art: 33.91%          
dis                                                                  | # Parameters: 4                | Build time: 99.24 seconds              | Our model: 98.46%            | State of the Art: 98.87%          
dna                                                                  | # Parameters: 1659             | Build time: 869.41 seconds             | Our model: 97.99%            | State of the Art: 96.5%           
ecoli                                                                | # Parameters: 128              | Build time: 2685.17 seconds            | Our model: 92.26%            | State of the Art: 86.31%          
eucalyptus (binary)                                                  | # Parameters: 183              | Build time: 21.71 seconds              | Our model: 93.88%            | State of the Art: 78.3%           
eucalyptus (multi)                                                   | # Parameters: 183              | Build time: 21.41 seconds              | Our model: 93.88%            | State of the Art: 78.3%           
eye-movements                                                        | # Parameters: 3509             | Build time: 163.12 seconds             | Our model: 68.30%            | State of the Art: 75.03%          
